Catalog no.,Artist,Album,Performers,Encoding,Source,Date Added,Tags,Notes
mc0000,Robert Schumann,Lieder Edition 1,Thomas E. Bauer & Uta Hielscher,Ogg Vorbis -q 5,New York Public Library,2009-12-18,19th-century songs chamber,
mc0001,David Tudor,Rainforest,"David Tudor, et al",Ogg Vorbis -q 10,New York Public Library,2008-05-24,electroacoustic 20th-century,
mc0002,Sun Ra,Calling Planet Earth,Sun Ra; The Arkestra,FLAC,BitTorrent,2017-03-04,jazz 1960s 1970s compilations,
mc0004,Derek Bailey,Pieces For Guitar,Derek Bailey,Ogg Vorbis -q 8,New York Public Library,2008-06-07,solo improvisation guitar,
mc0005,William Byrd,"The Byrd Edition, Vols. 1--13",The Cardinall's Musick,FLAC,BitTorrent,2014-01,16th-century 17th-century choral motets masses,Contains a selection of Byrd's instrumental works only. Vol 9 is MP3 320 kb/s. Needs INFO file.
mc0006,Henry Purcell,Complete Chamber Music,Musica Amphion,FLAC,BitTorrent,2014-01-20,17th-century chamber box-sets brilliant,Needs INFO file.
mc0007,"John Cage, Morton Feldman, Earle Brown, Christian Wolff",The New York School 2,"Eberhard Blum, Jan Williams, Steffen Schleiermacher",Ogg Vorbis -q 5,New York Public Library,2009-05-21,20th-century chamber,
mc0008,John Taverner,Missa O Michael,"The Sixteen, Harry Christophers",FLAC,BitTorrent,2014-01-21,16th-century masses choral,Needs INFO file.
mc0009,Miles Davis & Gil Evans,The Complete Columbia Studio Recordings,"Miles Davis, Gil Evans, et al",FLAC,BitTorrent,2019-09-07,jazz orchestral 1950s big-band,
mc0010,Orlando Gibbons,Fantaisies Royales,"Jordi Savall, et al",FLAC,BitTorrent,2014-01-16,17th-century chamber,
mc0011,Wayne Shorter,Footprints Live,"Wayne Shorter, et al",Ogg Vorbis -q 8,New York Public Library,2008,jazz live 2000s,Needs INFO file.
mc0012,Bill Evans,The Paris Concert,"Bill Evans, Marc Johnson, Joe LaBarbera",Ogg Vorbis -q 5,New York Public Library,2009-05-27,jazz 1970s live,
mc0013,Duke Ellington,Such Sweet Thunder,Duke Ellington Orchestra,Ogg Vorbis -q 5,New York Public Library,2009-05-26,jazz 1950s big-band,
mc0014,Krzyztof Penderecki,Violin Sonatas; Miniatures; Cadenza,Ida Bieler & Nina Tichman,FLAC,New York Public Library,2010-12-23,20th-century contemporary chamber,
mc0015,Dire Straits,Communiqué,Dire Straits,FLAC,Personal collection,2016-04-03,rock 1970s,
mc0016,Claude Debussy,Suite bergamasque; Estampes; Images; etc.,Walter Gieseking,Ogg Vorbis -q 6,New York Public Library,2008-05-23,19th-century piano solo,
mc0017,Django Reinhardt,The Classic Early Recordings In Chronological Order,"Django Reinhardt, et al",Ogg Vorbis -q 4,Gift,2008-06-01,jazz 1930s box-sets jsp,
mc0018,Esther Venrooy & Heleen Van Haegenborgh,Mock Interiors,Esther Venrooy & Heleen Van Haegenborgh,FLAC,Personal collection,2016-04-03,electronic electroacoustic 2000s contemporary,
mc0019,Evan Parker,Time Lapse,Evan Parker,FLAC,New York Public Library,2008-06-04,contemporary 1990s saxophone solo,
mc0020,György Ligeti,The Ligeti Project,Various,FLAC,BitTorrent & New York Public Library,2008-06-06 & 2019-04-15,contemporary 20th-century,
mc0022,Christian Wolff,Tilbury/Snowdrop,"Roland Dahinden, Hildegarde Kleeb, Dimitris Polisoldis",FLAC,New York Public Library,2008-05-23,contemporary 20th-century chamber,
mc0023,Alla Francesca,Richard Coeur-de-Lion: Troubadours & Trouvères,Alla Francesca,FLAC,BitTorrent,2016-09-08,medieval songs,
mc0024,Chet Baker Quartet,"Chet Baker Quartet Live, Vol. 2",Chet Baker Quartet,Ogg Vorbis -q 5,New York Public Library,2009-05-28,jazz 1950s live,
mc0025,Chet Baker Quartet,"Chet Baker Quartet Live, Vol. 3",Chet Baker Quartet,Ogg Vorbis -q 5,New York Public Library,2009-05-26,jazz 1950s live,
mc0026,Dexter Gordon,Our Man In Paris,"Dexter Gordon, et al",Ogg Vorbis -q 6,New York Public Library,2008-06-06,jazz 1960s blue-note,
mc0027,Ludwig van Beethoven,"Diabelli Variations, op. 120",Alfred Brendel,FLAC,RPL,2013-08-29,19th-century piano variations solo,
mc0028,Philippe Verdelot,Madrigals For a Tudor King,"Alamire, Lynda Sayce, David Skinner",FLAC,RPL,2013-08-29,16th-century madrigals choral,
mc0029,Duke Ellington,"Black, Brown, and Beige","Duke Ellington Orchestra, Mahalia Jackson, et al",Ogg Vorbis -q 5,New York Public Library,unknown,jazz 1950s big-band,
